Date,^GSPC,^NDX,^STOXX50E,^FTSE,^GDAXI,^N225,000001.SS,^NSEI,^HSI,^AXJO
2019-11-22,3110.2900390625,8272.0498046875,3687.320068359375,7326.7998046875,13163.8798828125,23112.880859375,2885.2900390625,11914.400390625,26595.080078125,6709.7998046875
2019-11-25,3133.639892578125,8371.9296875,3707.679931640625,7396.2998046875,13246.4501953125,23292.810546875,2906.169921875,12073.75,26993.0390625,6731.39990234375
2019-11-26,3140.52001953125,8385.75,3705.550048828125,7403.10009765625,13236.419921875,23373.3203125,2907.06005859375,12037.7001953125,26913.919921875,6787.5
2019-11-27,3153.6298828125,8444.7099609375,3712.85009765625,7429.7998046875,13287.0703125,23437.76953125,2903.18994140625,12100.7001953125,26954.0,6850.60009765625
2019-11-28,,,3704.47998046875,7416.39990234375,13245.580078125,23409.140625,2889.693115234375,12151.150390625,26893.73046875,6864.0
2019-11-29,3140.97998046875,8403.6796875,3703.580078125,7346.5,13236.3798828125,23293.91015625,2871.97998046875,12056.0498046875,26346.490234375,6846.0
2019-12-02,3113.8701171875,8309.259765625,3626.659912109375,7285.89990234375,12964.6796875,23529.5,2875.81005859375,12048.2001953125,26444.720703125,6862.2998046875
2019-12-03,3093.199951171875,8254.740234375,3610.989990234375,7158.7998046875,12989.2900390625,23379.810546875,2884.699951171875,11994.2001953125,26391.30078125,6712.2998046875
2019-12-04,3112.760009765625,8296.5302734375,3660.02001953125,7188.5,13140.5703125,23135.23046875,2878.115966796875,12043.2001953125,26062.560546875,6606.5
2019-12-05,3117.429931640625,8308.400390625,3648.1298828125,7137.89990234375,13054.7998046875,23300.08984375,2899.468994140625,12018.400390625,26217.0390625,6683.0
2019-12-06,3145.909912109375,8397.3701171875,3692.340087890625,7239.7001953125,13166.580078125,23354.400390625,2912.013916015625,11921.5,26498.369140625,6707.0
2019-12-09,3135.9599609375,8362.740234375,3672.179931640625,7233.89990234375,13105.6103515625,23430.69921875,2914.47802734375,11937.5,26494.73046875,6730.0
2019-12-10,3132.52001953125,8354.2900390625,3671.780029296875,7213.7998046875,13070.7197265625,23410.189453125,2917.31591796875,11856.7998046875,26436.619140625,6706.89990234375
2019-12-11,3141.6298828125,8402.6103515625,3687.449951171875,7216.2998046875,13146.740234375,23391.859375,2924.4169921875,11910.150390625,26645.4296875,6752.60009765625
2019-12-12,3168.570068359375,8466.8896484375,3706.35009765625,7273.5,13221.6396484375,23424.810546875,2915.697998046875,11971.7998046875,26994.140625,6708.7998046875
2019-12-13,3168.800048828125,8487.7099609375,3731.070068359375,7353.39990234375,13282.7197265625,24023.099609375,2967.676025390625,12086.7001953125,27687.759765625,6739.7001953125
2019-12-16,3191.449951171875,8570.330078125,3772.739990234375,7519.10009765625,13407.66015625,23952.349609375,2984.39306640625,12053.9501953125,27508.08984375,6849.7001953125
2019-12-17,3192.52001953125,8575.7001953125,3745.280029296875,7525.2998046875,13287.830078125,24066.119140625,3022.422119140625,12165.0,27843.7109375,6847.2998046875
2019-12-18,3191.139892578125,8580.6201171875,3739.0,7540.7998046875,13222.16015625,23934.4296875,3017.0439453125,12221.650390625,27884.2109375,6851.39990234375
2019-12-19,3205.3701171875,8641.2900390625,3739.169921875,7573.7998046875,13211.9599609375,23864.849609375,3017.06591796875,12259.7001953125,27800.490234375,6833.10009765625
2019-12-20,3221.219970703125,8678.490234375,3776.56005859375,7582.5,13318.900390625,23816.630859375,3004.93798828125,12271.7998046875,27871.349609375,6816.2998046875
2019-12-23,3224.010009765625,8696.009765625,3776.659912109375,7623.60009765625,13300.98046875,23821.109375,2962.7509765625,12262.75,27906.41015625,6785.10009765625
2019-12-24,3223.3798828125,8699.509765625,,7632.2001953125,,23830.580078125,2982.680908203125,12214.5498046875,27864.2109375,6794.2001953125
2019-12-25,,,,,,23782.869140625,2981.881103515625,,,
2019-12-26,3239.909912109375,8778.3095703125,,,,23924.919921875,3007.35498046875,12126.5498046875,,
2019-12-27,3240.02001953125,8770.98046875,3782.27001953125,7644.89990234375,13337.1103515625,23837.720703125,3005.035888671875,12245.7998046875,28225.419921875,6821.7001953125
2019-12-30,3221.2900390625,8709.73046875,3748.469970703125,7587.10009765625,13249.009765625,23656.619140625,3040.02392578125,12255.849609375,28319.390625,6804.89990234375
2019-12-31,3230.780029296875,8733.0703125,,7542.39990234375,,,3050.1240234375,12168.4501953125,28189.75,6684.10009765625
2020-01-01,,,,,,,,12182.5,,
2020-01-02,3257.85009765625,8872.2197265625,,7604.2998046875,13385.9296875,,3085.197998046875,12282.2001953125,28543.51953125,6690.60009765625
